Fact,"New Albany city, Ohio","Dublin city, Ohio"
"Population estimates, July 1, 2018,  (V2018)","10,889","48,647"
"Population estimates base, April 1, 2010,  (V2018)","7,867","41,364"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)",38.40%,17.60%
"Population, Census, April 1, 2010","7,724","41,751"
"Total retail sales per capita, 2012","$74,083 ","$23,251 "
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017",20.7,24.3
"Median household income (in 2017 dollars), 2013-2017","$187,200 ","$128,916 "
"Per capita income in past 12 months (in 2017 dollars), 2013-2017","$76,811 ","$58,386 "
